row.ID,Fold_changed,rank,group
9499,-2.559739653,334,0.5
7920,-2.559572617,335,0.5
4378,-2.559477217,336,0.5
6224,-2.558610909,337,0.5
4420,-2.557864981,338,0.5
8824,-2.557031324,339,0.5
6770,-2.556891261,340,0.5
5389,-2.556645004,341,0.5
9668,-2.556540905,342,0.5
6352,-2.556156763,343,0.5
7180,-2.555417862,344,0.5
8197,-2.55479191,345,0.5
8903,-2.554249627,346,0.5
7390,-2.553230922,347,0.5
4442,-2.552924248,348,0.5
9398,-2.549502263,349,0.5
6867,-2.548917661,350,0.5
9399,-2.548917661,351,0.5
4160,-2.547629941,352,0.5
6400,-2.547442664,353,0.5
60,-2.547202097,354,0.5
2946,-2.545833997,355,0.5
7175,-2.545278341,356,0.5
9433,-2.544716837,357,0.5
7643,-2.544370935,358,0.5
6069,-2.543793818,359,0.5
9503,-2.543129185,360,0.5
3009,-2.542130324,361,0.5
6094,-2.539834386,362,0.5
7063,-2.539389782,363,0.5
8609,-2.538287243,364,0.5
5617,-2.53702795,365,0.5
8931,-2.535146867,366,0.5
6491,-2.535087951,367,0.5
869,-2.534595306,368,0.5
51,-2.533124451,369,0.5
9296,-2.529543754,370,0.5
3607,-2.528722429,371,0.5
5890,-2.527165118,372,0.5
7120,-2.52613217,373,0.5
8082,-2.525782827,374,0.5
8532,-2.525782827,375,0.5
5205,-2.524714466,376,0.5
9210,-2.523988313,377,0.5
9318,-2.523791823,378,0.5
6223,-2.523504486,379,0.5
9317,-2.523305757,380,0.5
7500,-2.522838344,381,0.5
6714,-2.520358328,382,0.5
4756,-2.518529242,383,0.5
1307,-2.517932944,384,0.5
8655,-2.517030861,385,0.5
9633,-2.516166272,386,0.5
7898,-2.515572325,387,0.5
8558,-2.51548596,388,0.5
8526,-2.515485812,389,0.5
8647,-2.514581806,390,0.5
6941,-2.514401669,391,0.5
3973,-2.514104821,392,0.5
9062,-2.513998765,393,0.5
4433,-2.513582725,394,0.5
8083,-2.51348086,395,0.5
8736,-2.513279558,396,0.5
751,-2.51304717,397,0.5
7915,-2.513035209,398,0.5
3801,-2.512898668,399,0.5
9315,-2.512318215,400,0.5
4162,-2.511563629,401,0.5
9143,-2.510872198,402,0.5
8914,-2.51047507,403,0.5
4943,-2.510422754,404,0.5
8612,-2.510404712,405,0.5
9413,-2.509593208,406,0.5
7696,-2.509515099,407,0.5
8231,-2.508294775,408,0.5
4441,-2.507611745,409,0.5
6940,-2.506850996,410,0.5
6115,-2.506772392,411,0.5
1257,-2.506111557,412,0.5
6921,-2.505812277,413,0.5
9505,-2.505522667,414,0.5
8497,-2.505128088,415,0.5
8689,-2.505072288,416,0.5
9353,-2.504265339,417,0.5
6032,-2.504026397,418,0.5
9376,-2.503378894,419,0.5
5983,-2.502768412,420,0.5
6427,-2.502085559,421,0.5
4060,-2.501520998,422,0.5
5430,-2.500565139,423,0.5
8273,-2.500166242,424,0.5
7077,-2.497993212,425,0.5
3763,-2.495705647,426,0.5
7573,-2.495625,427,0.5
4737,-2.495366827,428,0.5
6947,-2.493701158,429,0.5
4882,-2.493102778,430,0.5
5672,-2.491953999,431,0.5
5644,-2.491402896,432,0.5
7380,-2.491019467,433,0.5
7391,-2.490611701,434,0.5
6648,-2.490235434,435,0.5
3379,-2.490187219,436,0.5
4946,-2.49006658,437,0.5
8788,-2.489533358,438,0.5
8897,-2.489242253,439,0.5
6189,-2.488042146,440,0.5
1894,-2.487910805,441,0.5
9025,-2.487828697,442,0.5
4699,-2.486381048,443,0.5
7688,-2.486315131,444,0.5
6882,-2.484912023,445,0.5
5190,-2.484531578,446,0.5
8930,-2.482824319,447,0.5
8911,-2.482524599,448,0.5
8211,-2.48189239,449,0.5
6187,-2.48157594,450,0.5
7225,-2.48069199,451,0.5
9680,-2.479806237,452,0.5
9414,-2.479153301,453,0.5
8525,-2.478736663,454,0.5
2901,-2.478146863,455,0.5
6716,-2.477472058,456,0.5
4398,-2.476061907,457,0.5
9443,-2.475671188,458,0.5
1682,-2.475060714,459,0.5
9418,-2.474368752,460,0.5
6968,-2.47387721,461,0.5
9241,-2.473724549,462,0.5
