row.ID,Fold_changed,rank,group
7291,-2.436680281,111,0.5
2754,-2.436242823,112,0.5
1730,-2.435845761,113,0.5
8712,-2.435189388,114,0.5
8616,-2.433397672,115,0.5
6253,-2.425071442,116,0.5
8852,-2.423874279,117,0.5
3264,-2.416214634,118,0.5
3317,-2.415885263,119,0.5
8557,-2.415807728,120,0.5
7643,-2.414411397,121,0.5
7172,-2.411693529,122,0.5
3442,-2.410698781,123,0.5
51,-2.406925062,124,0.5
9109,-2.406143926,125,0.5
8773,-2.40525103,126,0.5
8846,-2.405171573,127,0.5
3087,-2.401400541,128,0.5
7742,-2.400422309,129,0.5
9296,-2.399584216,130,0.5
7350,-2.397919808,131,0.5
8592,-2.396171991,132,0.5
4409,-2.390852987,133,0.5
3973,-2.390551395,134,0.5
6619,-2.388278863,135,0.5
7667,-2.380412257,136,0.5
3840,-2.378398169,137,0.5
7852,-2.378165415,138,0.5
9461,-2.376619391,139,0.5
8891,-2.374982668,140,0.5
125,-2.374300653,141,0.5
9034,-2.373467996,142,0.5
5875,-2.372944062,143,0.5
5601,-2.367875775,144,0.5
5325,-2.367198281,145,0.5
5897,-2.367052385,146,0.5
8904,-2.364790883,147,0.5
9595,-2.363874235,148,0.5
785,-2.362495625,149,0.5
6019,-2.35910236,150,0.5
5998,-2.358819898,151,0.5
8626,-2.357402949,152,0.5
8242,-2.355734225,153,0.5
6516,-2.35553616,154,0.5
3895,-2.353795499,155,0.5
5634,-2.353191333,156,0.5
9362,-2.350251469,157,0.5
2486,-2.345328131,158,0.5
5734,-2.341641534,159,0.5
8579,-2.340605498,160,0.5
8087,-2.339982688,161,0.5
3607,-2.339369239,162,0.5
4411,-2.337412823,163,0.5
9525,-2.336859821,164,0.5
7744,-2.333494139,165,0.5
8190,-2.331996051,166,0.5
5487,-2.327036604,167,0.5
8694,-2.326645416,168,0.5
7135,-2.324497802,169,0.5
9265,-2.322133829,170,0.5
8306,-2.320460283,171,0.5
8993,-2.320242925,172,0.5
7741,-2.31558451,173,0.5
237,-2.313499351,174,0.5
8746,-2.313450278,175,0.5
9632,-2.30784417,176,0.5
3787,-2.305726203,177,0.5
7818,-2.304775996,178,0.5
1900,-2.304736657,179,0.5
4192,-2.30427505,180,0.5
5271,-2.301887637,181,0.5
7277,-2.301231946,182,0.5
8624,-2.298929199,183,0.5
8229,-2.298866383,184,0.5
8983,-2.298245118,185,0.5
3462,-2.295753764,186,0.5
2922,-2.295262128,187,0.5
6604,-2.291883345,188,0.5
6187,-2.285740622,189,0.5
5803,-2.284535655,190,0.5
8881,-2.283459011,191,0.5
6105,-2.279603285,192,0.5
5351,-2.279434784,193,0.5
7144,-2.27843454,194,0.5
557,-2.275659486,195,0.5
6059,-2.275177383,196,0.5
9422,-2.274802044,197,0.5
8207,-2.274292135,198,0.5
8851,-2.270922464,199,0.5
3172,-2.270864386,200,0.5
8837,-2.270407978,201,0.5
8373,-2.27013695,202,0.5
9319,-2.26994713,203,0.5
5836,-2.267574784,204,0.5
3817,-2.266324697,205,0.5
7389,-2.265256726,206,0.5
4150,-2.263898959,207,0.5
3816,-2.263663588,208,0.5
8772,-2.262198996,209,0.5
3568,-2.261476818,210,0.5
9509,-2.259145814,211,0.5
9510,-2.25886975,212,0.5
9492,-2.25831373,213,0.5
4699,-2.256526643,214,0.5
6921,-2.255619298,215,0.5
8627,-2.25194931,216,0.5
3814,-2.25172621,217,0.5
9516,-2.247602209,218,0.5
9550,-2.247545095,219,0.5
2585,-2.244622278,220,0.5
5324,-2.243191059,221,0.5
9182,-2.237257247,222,0.5
7907,-2.237117634,223,0.5
9380,-2.236232518,224,0.5
8850,-2.235675223,225,0.5
1779,-2.234826126,226,0.5
9537,-2.234359563,227,0.5
6812,-2.234252037,228,0.5
